,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$,Current health expenditure (CHE) per capita in US$
Country, 2018, 2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000
Afghanistan,49.84,65.71,60.19,58.91,59.01,55.03,51.44,50.85,44.99,41.72,38.10,31.27,27.84,23.89,20.41,17.04,15.80,,
Albania,274.91,226.28,202.01,192.89,251.36,236.96,213.72,211.08,192.00,186.44,220.46,222.30,174.53,165.27,156.57,125.99,96.27,89.58,80.62
Algeria,255.87,258.04,260.77,291.55,359.64,331.94,335.56,287.39,229.29,208.12,206.89,150.97,116.71,100.71,92.51,75.74,66.46,66.80,61.58
Andorra,2821.80,2567.42,2361.22,2246.25,2529.09,2432.78,2342.57,2567.53,2642.17,2687.86,2774.49,2392.82,2158.88,2301.59,2033.00,1812.32,1508.52,1319.91,1292.04
Angola,87.62,114.33,95.12,108.58,131.65,143.61,122.19,122.11,96.70,120.00,135.61,92.86,69.81,54.26,49.81,34.88,29.05,28.92,13.00
Antigua and Barbuda,875.17,795.56,778.45,754.24,792.84,711.23,727.26,693.81,701.82,591.43,673.84,694.54,648.23,626.72,585.72,602.69,550.06,563.74,512.57
Argentina,1127.91,1529.62,1153.53,1531.48,1286.22,1421.66,1368.42,1208.39,985.03,785.67,746.49,572.04,455.80,392.59,311.65,262.29,223.85,675.06,708.77
Armenia,422.28,405.65,357.46,364.97,405.73,396.23,336.32,330.58,297.23,252.84,266.31,172.60,126.25,96.35,72.17,66.78,59.63,32.26,26.13
Australia,5425.34,5308.78,4971.61,4860.37,5607.92,5813.99,6025.34,5861.70,4945.04,3995.34,4090.76,3799.74,3184.81,3013.09,2767.14,2249.29,1770.47,1564.17,1638.81
Austria,5326.44,4937.98,4709.88,4612.82,5393.60,5235.34,4966.10,5167.82,4800.79,4928.99,5057.76,4478.77,3882.98,3710.40,3594.65,3091.24,2497.87,2282.52,2269.13
Azerbaijan,165.77,155.10,157.00,226.51,267.31,239.95,222.99,176.41,145.85,129.73,107.36,75.40,50.25,35.08,27.38,23.80,20.59,19.19,19.14
Bahamas,2013.38,2174.18,1774.02,1635.88,1670.24,1609.32,1568.29,1491.04,1495.23,1470.69,1489.43,1415.04,1323.53,1220.79,1148.94,1138.74,1100.53,1078.69,1030.97
Bahrain,994.18,1126.07,1098.88,1128.76,1101.26,1066.13,971.37,805.31,796.32,785.26,757.74,692.97,591.31,570.29,550.36,567.24,503.03,484.91,485.69
Bangladesh,41.91,37.43,34.58,32.85,29.75,26.67,23.46,22.85,20.80,17.92,15.80,14.32,12.34,11.61,11.09,10.28,9.34,8.36,8.56
Barbados,1164.54,1151.69,1129.19,1119.55,1153.88,1233.11,1263.92,1135.52,1087.66,1135.61,1107.05,1015.61,1000.62,935.64,915.30,781.97,665.92,619.34,600.81
