,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma","Birth asphyxia and birth trauma"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","11876","503","12379","12154","525","12679","12531","540","13071","12888","541","13428","13263","526","13789","13713","512","14225","14346","535","14880","15113","567","15680","15902","613","16515","16558","627","17184","17176","641","17817","17749","656","18406","18162","672","18834","18183","681","18864","17537","672","18209","16790","642","17433","16165","639","16804","15646","628","16274"
"Albania","25","1","27","25","2","27","25","2","27","25","2","27","25","2","27","25","2","27","27","2","28","28","2","30","30","2","33","33","2","34","36","2","38","39","2","41","43","2","45","48","3","50","53","3","56","59","4","62","65","4","69","72","4","76"
"Algeria","3075","139","3214","3197","140","3337","3311","141","3453","3395","140","3535","3444","138","3582","3464","134","3598","3455","129","3583","3419","123","3542","3346","119","3465","3253","114","3367","3149","110","3259","3050","108","3158","2962","108","3070","2895","110","3005","2853","111","2964","2824","115","2940","2815","120","2935","2837","127","2964"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","11557","1565","13121","11594","1605","13198","11546","1656","13202","11588","1671","13259","11660","1671","13330","11806","1737","13543","12013","1818","13832","12239","1908","14147","12486","1978","14465","12714","2037","14751","12983","2060","15042","13214","2061","15275","13386","2068","15453","13430","2079","15508","13318","2085","15403","13180","2076","15256","13122","2008","15130","13047","2020","15067"
"Antigua and Barbuda","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","2","0","2","3","0","3","4","0","4","3","0","3","2","0","2","2","0","2","1","0","1","2","0","2","0","1","1","1","1","2","1","1","2","3","1","4","4","1","5"
