,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases","Diarrhoeal diseases"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","495","5557","6052","507","6021","6527","529","6543","7071","553","6924","7477","579","7232","7811","601","7954","8555","614","8716","9330","615","9446","10061","617","10069","10687","624","10588","11211","632","11179","11811","633","11856","12488","642","12572","13214","662","13245","13907","684","13821","14504","683","14306","14990","668","14751","15419","655","15024","15678"
"Albania","0","2","2","0","2","2","0","2","2","0","3","3","0","3","3","0","3","3","0","4","4","0","5","5","0","5","5","0","7","7","0","9","9","0","11","11","0","13","13","0","16","16","0","20","20","0","25","25","0","31","31","0","38","38"
"Algeria","28","1053","1081","29","1113","1142","30","1163","1193","31","1199","1230","32","1224","1256","32","1235","1268","33","1242","1276","35","1252","1287","37","1257","1294","38","1264","1301","38","1272","1310","38","1309","1348","39","1371","1409","39","1462","1501","41","1566","1607","42","1695","1737","43","1849","1892","44","2011","2055"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","177","8749","8926","178","9437","9614","184","10332","10517","194","11656","11849","206","12606","12812","221","13844","14065","233","15361","15594","244","17052","17296","257","18789","19046","277","20557","20834","302","22110","22412","330","23475","23805","356","24935","25292","381","26414","26795","401","28099","28500","417","29642","30059","431","30365","30796","440","31701","32141"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
