,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections","Acute lower respiratory infections"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","3026","8603","11629","3097","9006","12103","3198","9451","12649","3299","10505","13804","3408","11999","15407","3535","12656","16191","3694","13324","17018","3876","14239","18114","4064","15320","19385","4232","16567","20800","4399","17557","21957","4555","18280","22835","4692","18651","23343","4767","18912","23679","4707","19005","23712","4594","18948","23541","4475","18831","23306","4357","18495","22852"
"Albania","14","14","27","14","15","29","14","18","31","14","20","34","14","23","38","15","26","42","16","30","46","18","34","52","20","39","59","22","50","72","25","59","84","29","70","98","33","84","116","37","101","138","42","121","162","47","144","191","53","172","225","60","205","265"
"Algeria","721","2170","2892","750","2224","2974","777","2251","3028","797","2251","3048","809","2231","3040","814","2190","3004","816","2139","2954","813","2093","2907","805","2110","2915","788","2193","2981","765","2343","3108","742","2476","3217","721","2580","3301","706","2660","3366","697","2756","3454","692","2889","3581","691","3054","3745","697","3226","3923"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","2702","13981","16683","2711","14508","17218","2714","15199","17913","2736","16242","18979","2770","18436","21206","2815","19872","22687","2864","21081","23945","2909","22303","25212","2954","23453","26406","3001","24743","27743","3056","26138","29194","3102","27748","30850","3137","29033","32170","3156","29852","33008","3146","30333","33479","3133","30653","33786","3129","30149","33277","3118","30292","33410"
"Antigua and Barbuda","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","1","1","0","0","0"
