,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria","Malaria"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","0","68","68","0","68","68","0","40","40","0","31","31","0","22","22","0","26","26","0","55","55","0","46","46","0","39","39","0","44","44","0","56","56","0","53","53","0","63","63","0","93","93","0","197","197","0","370","370","0","283","283","0","285","285"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0","6705","6705","0","6801","6801","0","6862","6862","0","6787","6787","0","6628","6628","0","6867","6867","0","7387","7387","0","8164","8164","0","9196","9196","0","10491","10491","0","11863","11863","0","13166","13166","0","14363","14363","0","15309","15309","0","16015","16015","0","16313","16313","0","15923","15923","0","15677","15677"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
