,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis","Meningitis/encephalitis"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","1468","1213","2681","1516","1277","2793","1589","1344","2933","1652","1586","3238","1701","1939","3640","1774","2053","3827","1897","2189","4086","2088","2436","4523","2278","2786","5064","2422","3235","5658","2532","3592","6124","2641","3853","6493","2619","3982","6602","2416","4085","6501","2043","4148","6190","1746","4175","5921","1684","4192","5875","1500","4124","5624"
"Albania","4","3","7","4","3","7","4","4","8","4","5","9","4","6","9","4","6","10","4","7","11","5","8","13","5","9","14","6","8","14","6","10","16","8","11","19","9","13","22","10","16","26","12","19","31","14","23","37","16","27","44","18","32","50"
"Algeria","44","183","227","45","187","233","48","189","237","50","189","239","51","187","238","51","184","235","51","180","231","49","176","226","46","186","232","43","208","252","42","243","285","41","269","310","41","286","327","41","297","338","40","310","351","40","329","369","41","351","391","41","374","415"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","416","1478","1894","418","1536","1954","446","1621","2068","472","1792","2264","500","2178","2678","528","2390","2917","564","2550","3113","605","2707","3312","639","2868","3507","648","3095","3743","639","3417","4056","617","3864","4481","606","4275","4880","608","4602","5209","610","4820","5430","615","4974","5589","592","7737","8329","546","7820","8366"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","1","0","0","0"
