,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles","Measles"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","0","1414","1414","0","631","631","0","1260","1260","0","619","619","0","266","266","0","3497","3497","0","3700","3700","0","3244","3244","0","4429","4429","0","2048","2048","0","1898","1898","0","6926","6926","0","2044","2044","0","372","372","0","229","229","0","6868","6868","0","14112","14112","0","10571","10571"
"Albania","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"Algeria","0","75","75","0","60","60","0","52","52","0","57","57","0","89","89","0","79","79","0","74","74","0","66","66","0","57","57","0","49","49","0","40","40","0","38","38","0","30","30","0","38","38","0","2429","2429","0","1395","1395","0","1289","1289","0","1131","1131"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","0","663","663","0","558","558","0","363","363","0","6254","6254","0","4527","4527","0","2021","2021","0","918","918","0","480","480","0","1844","1844","0","566","566","0","342","342","0","1011","1011","0","480","480","0","41","41","0","2642","2642","0","7762","7762","0","6118","6118","0","1806","1806"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
