,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn","Sepsis and other infectious conditions of the newborn"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","6573","0","6573","6714","0","6714","6859","0","6859","6952","0","6952","6985","0","6985","7109","0","7109","7401","0","7401","7949","0","7949","8472","0","8472","8816","0","8816","9027","0","9027","9236","0","9236","9025","0","9025","8252","0","8252","6952","0","6952","6015","0","6015","5260","0","5260","4825","0","4825"
"Albania","8","0","8","8","0","8","8","0","8","8","0","8","8","0","8","9","0","9","9","0","9","10","0","10","11","0","11","11","0","11","12","0","12","13","0","13","14","0","14","15","0","15","17","0","17","20","0","20","24","0","24","27","0","27"
"Algeria","2046","0","2046","2127","0","2127","2199","0","2199","2249","0","2249","2274","0","2274","2286","0","2286","2238","0","2238","2133","0","2133","1968","0","1968","1845","0","1845","1759","0","1759","1708","0","1708","1657","0","1657","1617","0","1617","1585","0","1585","1565","0","1565","1554","0","1554","1557","0","1557"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","5468","0","5468","5488","0","5488","5648","0","5648","5771","0","5771","5870","0","5870","5936","0","5936","6087","0","6087","6297","0","6297","6478","0","6478","6424","0","6424","6188","0","6188","5861","0","5861","5607","0","5607","5489","0","5489","5373","0","5373","5215","0","5215","4901","0","4901","4560","0","4560"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
