,"2017","2017","2017","2016","2016","2016","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
,"Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths","Number of deaths"
,"HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS","HIV/AIDS"
"Country","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years","0-27 days","1-59 months","0-4 years"
"Afghanistan","0","17","17","0","17","17","0","17","17","0","17","17","0","18","18","0","18","18","0","18","18","0","17","17","0","16","16","0","15","15","0","14","14","0","13","13","0","12","12","0","11","11","0","10","10","0","10","10","0","8","8","0","8","8"
"Albania","0","2","2","0","2","2","0","1","1","0","2","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Algeria","0","14","14","0","16","16","0","19","19","0","14","14","0","11","11","0","14","14","0","10","10","0","9","9","0","10","10","0","12","12","0","17","17","0","13","13","0","12","12","0","10","10","0","8","8","0","8","8","0","6","6","0","6","6"
"Andorra","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angola","27","2666","2693","25","2473","2498","25","2451","2476","25","2431","2456","26","2576","2602","26","2586","2612","25","2464","2489","23","2316","2339","23","2267","2290","22","2177","2199","21","2088","2109","20","1982","2002","19","1903","1922","18","1738","1756","16","1570","1586","14","1396","1410","12","1230","1242","11","1072","1083"
"Antigua and Barbuda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
