"","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)","Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%)"
"Country"," 2019"," 2018"," 2017"," 2016"," 2015"," 2014"," 2013"," 2012"," 2011"," 2010"," 2009"," 2008"
"Afghanistan","65","65","65","65","65","40","","","","","",""
"Albania","96","98","99","98","99","99","99","99","99","","",""
"Algeria","91","91","89","61","","","","","","","",""
"Andorra","96","94","98","92","92","93","","","","","",""
"Angola","53","59","52","55","55","45","9","","","","",""
"Argentina","88","88","76","82","82","89","86","41","","","",""
"Armenia","92","92","94","94","44","","","","","","",""
"Australia","96","95","94","94","93","91","91","91","91","91","91","91"
"Azerbaijan","95","95","96","97","94","64","","","","","",""
"Bahamas","86","90","93","94","95","96","97","37","1","1","3",""
"Bahrain","97","98","97","99","98","98","99","99","99","99","96","14"
"Bangladesh","97","97","97","97","48","","","","","","",""
"Barbados","93","89","89","96","97","90","87","84","81","78","75",""
"Belgium","94","94","94","94","94","93","93","93","","","",""
"Benin","73","73","73","73","72","69","70","67","36","","",""
"Bhutan","26","","","","","","","","","","",""
"Bolivia (Plurinational State of)","75","83","83","87","86","56","","","","","",""
"Botswana","92","91","89","91","93","95","72","52","","","",""
"Brazil","84","84","84","84","94","93","94","88","82","24","",""
