"","Water, sanitation and hygiene attributable DALYs ('000)","Water, sanitation and hygiene attributable DALYs ('000) in children under 5 years","Water, sanitation and hygiene attributable deaths ('000) in children under 5 years"
"Country"," 2004"," 2004"," 2004"
"Afghanistan","2216607","2139966","62200"
"Albania","4919","4284","116"
"Algeria","186728","114938","3139"
"Andorra","12","3","0"
"Angola","1584168","1308451","37920"
"Antigua and Barbuda","83","22","0"
"Argentina","39983","12800","104"
"Armenia","6062","4849","132"
"Australia","3128","1097","0"
"Austria","1244","346","0"
"Azerbaijan","65657","61291","1771"
"Bahamas","340","94","0"
"Bangladesh","2196561","2061105","58639"
"Barbados","161","33","0"
"Belarus","2449","859","4"
"Belgium","1650","524","1"
"Belize","674","424","10"
"Benin","297992","235888","6716"
"Bhutan","8768","8168","237"
"Bolivia (Plurinational State of)","116623","105775","3019"
"Bosnia and Herzegovina","1016","430","3"
"Botswana","28600","25880","729"
"Brazil","924621","766324","21570"
"Bulgaria","1463","644","8"
"Burkina Faso","782154","664022","18985"
"Burundi","480957","403464","11653"
"Cabo Verde","3098","2153","57"
"Cambodia","350025","327601","9454"
"Cameroon","567486","479153","13693"
"Canada","5937","1573","2"
"Central African Republic","136373","115396","3273"
"Chad","462068","387567","11123"
"Chile","15493","3721","8"
"China","3210273","1800455","49195"
"Colombia","101075","62385","1478"
"Comoros","8747","5720","155"
"Congo","46525","40840","1142"
"Cook Islands","29","24","1"
"Costa Rica","5322","1627","16"
"Côte d'Ivoire","717236","580373","16533"
"Croatia","707","183","0"
"Cuba","10363","2190","9"
"Cyprus","516","313","7"
"Czechia","1546","499","3"
"Democratic People's Republic of Korea","171012","144470","4171"
"Democratic Republic of the Congo","3520898","3011743","86843"
"Denmark","1015","375","3"
"Djibouti","17600","16683","484"
"Dominica","65","18","0"
"Dominican Republic","43422","29059","777"
"Ecuador","46170","34040","904"
"Egypt","350198","288944","7727"
"El Salvador","27567","20075","537"
"Equatorial Guinea","20872","16837","480"
"Eritrea","108887","93881","2673"
"Estonia","289","102","0"
"Eswatini","16832","14150","398"
"Ethiopia","3613138","3022045","87323"
"Fiji","1226","609","10"
"Finland","777","248","0"
"Gabon","9319","6879","184"
"Gambia","31502","25114","709"
"Georgia","14568","13713","400"
"Germany","13395","3419","7"
"Ghana","404211","256261","7077"
"Grenada","176","47","1"
"Guatemala","120735","91822","2532"
"Guinea","303667","255264","7327"
"Guinea-Bissau","89465","74214","2132"
"Guyana","4874","3818","105"
"Haiti","197499","185575","5286"
"Honduras","43098","36422","1004"
"Hungary","2246","822","2"
"Iceland","48","18","0"
"India","15375120","14210426","403518"
"Indonesia","1102396","978230","27410"
