Pais,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años",Media Fallecidos Enf. Infecciosas
Afghanistan,37.98,28.08,37.8,21.05,26.44,23.97,37.32,42.41,1.2,0.37,2.32,3.56,0.34,4.32,10.13,7.43,43.1,53.2,2139966.0,62200.0,6551.87
Albania,93.98,68.15,91.41,87.29,79.16,36.2,94.22,91.59,6.95,1.36,13.59,43.98,4.48,30.52,4.71,3.8,15.6,17.9,4284.0,116.0,19.82
Algeria,78.54,25.54,73.29,87.33,45.41,37.4,75.63,82.59,6.95,2.24,13.76,20.26,2.54,18.0,7.46,5.31,14.97,35.2,114938.0,3139.0,1026.87
Andorra,54.27,43.46,54.02,54.67,64.03,68.47,54.27,72.01,6.95,2.24,28.84,31.69,9.24,29.72,7.46,1.7,29.89,9.9,3.0,0.0,0.0
Angola,28.05,25.23,43.17,7.71,20.91,22.3,33.44,51.12,6.95,2.24,1.17,7.25,0.25,8.0,16.62,9.08,37.4,27.9,1308451.0,37920.0,10195.61
Antigua and Barbuda,91.76,46.82,83.66,60.14,57.97,61.63,93.39,72.01,6.95,1.11,12.92,47.55,1.79,30.98,9.22,4.96,29.89,17.9,22.0,0.0,0.17
Argentina,82.46,48.62,87.49,81.9,49.03,65.43,80.66,91.41,6.95,2.24,35.02,19.21,4.53,47.86,7.33,3.16,32.0,11.8,12800.0,104.0,262.55
Armenia,64.37,32.0,64.41,90.52,55.41,29.73,62.24,63.78,0.53,4.03,28.15,50.94,0.39,43.27,7.85,4.32,35.15,30.5,4849.0,132.0,29.39
Australia,84.05,85.31,79.05,68.05,55.62,70.5,82.17,72.01,6.95,2.24,30.72,101.73,8.24,38.64,6.31,1.84,29.89,7.2,1097.0,0.0,12.06
Austria,85.83,46.82,67.27,62.67,51.38,59.63,85.63,21.95,6.95,2.24,42.14,59.48,5.98,76.51,6.86,1.77,10.0,12.4,346.0,0.0,2.44
Azerbaijan,56.34,41.62,52.68,75.95,42.88,26.3,55.05,59.54,7.53,7.97,36.27,87.97,3.43,70.16,7.16,5.38,9.8,18.2,61291.0,1771.0,306.57
Bahamas,83.93,53.31,81.34,59.95,53.09,65.53,85.32,72.01,0.0,1.06,20.19,43.05,4.82,28.69,13.28,4.46,29.89,17.6,94.0,0.0,2.4
Bahrain,92.39,84.08,87.07,93.67,83.84,69.9,92.39,72.01,6.95,2.24,9.94,26.57,1.7,23.03,9.49,5.08,29.89,69.0,328018.71,9304.79,1.45
Bangladesh,66.07,33.54,62.49,32.14,43.81,35.17,66.07,72.39,0.02,0.17,4.03,2.53,0.87,7.2,31.55,8.39,47.85,58.3,2061105.0,58639.0,12472.48
Barbados,84.37,73.77,84.17,74.71,51.03,54.33,83.68,72.01,0.0,1.05,16.98,41.75,7.41,61.61,10.13,5.08,19.7,22.2,33.0,0.0,0.97
Belarus,65.22,46.82,66.83,93.14,58.59,9.93,65.2,66.8,2.82,7.45,42.07,94.36,3.18,113.84,5.12,3.91,14.65,18.1,859.0,4.0,15.6
Belgium,93.93,57.62,78.8,55.52,56.91,68.4,92.63,72.01,6.95,2.24,30.64,102.02,11.0,61.37,7.06,1.66,12.0,12.9,524.0,1.0,6.76
Belize,82.44,46.82,78.95,65.76,59.16,60.3,82.37,89.71,12.44,2.11,9.49,18.99,5.16,10.98,8.76,4.08,19.07,21.2,424.0,10.0,5.16
Benin,57.83,46.62,53.32,56.41,40.72,36.83,57.71,71.05,5.9,0.41,0.58,5.73,0.06,5.0,17.64,11.25,32.84,33.1,235888.0,6716.0,3247.77
Bhutan,76.61,2.0,75.39,50.86,67.72,26.07,76.78,82.93,1.62,1.72,3.27,13.13,0.28,17.4,12.61,9.49,50.05,35.3,8168.0,237.0,45.67
Bolivia (Plurinational State of),62.88,36.15,66.24,3.9,53.03,56.57,60.95,75.1,9.11,1.07,8.44,11.38,1.36,11.61,7.58,7.81,52.01,20.2,105775.0,3019.0,664.28
Bosnia and Herzegovina,56.0,46.82,54.27,82.71,41.78,39.43,55.27,60.29,0.0,1.02,17.02,52.21,1.12,33.27,3.44,4.36,13.77,27.3,430.0,3.0,5.88
Botswana,88.98,51.92,87.61,26.0,69.22,28.5,90.07,94.54,6.95,1.29,3.41,28.7,1.04,18.0,16.09,6.29,20.3,21.2,25880.0,729.0,220.55
Brazil,77.85,62.38,84.68,66.81,63.31,62.7,79.44,86.39,6.95,2.24,15.4,45.08,4.87,23.95,8.25,3.67,20.6,11.5,766324.0,21570.0,2468.52
Brunei Darussalam,93.32,46.82,93.59,90.81,91.72,58.07,92.95,93.93,0.49,1.44,13.53,61.3,1.18,25.63,10.61,2.16,29.89,5.8,328018.71,9304.79,1.21
Bulgaria,93.07,68.46,92.68,85.76,80.81,30.47,93.27,95.66,6.95,2.24,36.03,53.02,3.59,67.55,9.06,4.07,29.89,18.8,644.0,8.0,30.07
Burkina Faso,54.12,42.0,58.07,15.86,39.25,41.87,53.27,73.17,11.12,0.31,0.58,5.81,0.13,6.5,14.36,12.98,23.97,36.8,664022.0,18985.0,7750.91
Burundi,71.68,58.69,69.68,22.86,46.5,49.6,72.37,79.9,5.54,0.5,0.55,6.46,0.04,11.3,16.21,8.94,72.05,35.6,403464.0,11653.0,2653.27
Cabo Verde,78.17,46.82,74.34,38.67,50.97,28.53,78.05,82.0,3.82,1.0,5.99,10.69,0.06,21.0,10.13,8.86,49.25,32.0,2153.0,57.0,13.6
Cambodia,56.8,31.54,56.1,24.14,39.28,30.07,55.61,66.37,6.78,0.57,1.92,8.86,0.37,8.0,13.48,9.04,47.73,24.0,327601.0,9454.0,1240.06
Cameroon,55.27,48.69,51.95,56.41,37.19,28.8,55.59,68.85,0.68,0.79,0.92,5.94,0.04,14.0,12.47,10.04,18.85,65.3,479153.0,13693.0,7054.59
Canada,72.41,65.38,73.8,32.76,25.03,72.0,72.34,72.01,6.95,2.27,24.34,101.02,11.01,29.68,6.01,1.44,29.89,6.5,1573.0,2.0,16.64
Central African Republic,39.66,27.69,41.59,56.41,15.19,16.2,40.17,64.02,2.04,0.48,0.61,2.36,0.03,11.0,15.09,11.41,18.82,49.5,115396.0,3273.0,2233.99
Chad,25.78,46.82,26.73,56.41,14.0,14.93,23.41,40.27,0.0,0.65,0.37,1.88,0.05,4.0,10.13,11.48,3.48,53.0,387567.0,11123.0,6776.0
Chile,91.56,59.31,91.71,67.19,41.03,74.9,91.61,93.56,0.12,1.04,25.13,76.96,3.91,22.86,5.77,3.13,29.89,21.0,3721.0,8.0,34.16
China,84.15,46.82,80.76,69.14,56.25,45.36,80.78,79.88,6.95,2.24,13.66,13.95,2.91,25.47,5.28,2.55,23.1,49.2,1800455.0,49195.0,10492.03
Colombia,78.29,60.54,77.0,77.14,68.34,62.1,75.49,84.49,6.95,2.24,19.23,9.59,3.26,15.82,10.2,4.76,18.85,15.2,62385.0,1478.0,521.52
Comoros,65.05,46.82,60.51,56.41,42.44,30.5,64.02,73.61,1.63,0.68,1.86,7.0,0.25,21.8,24.95,8.45,8.27,18.6,5720.0,155.0,121.25
Congo,59.93,41.08,57.32,0.43,30.22,27.67,59.95,72.63,6.95,2.24,2.47,10.02,0.3,16.0,12.49,9.91,24.07,38.7,40840.0,1142.0,854.95
Cook Islands,86.46,46.82,80.39,84.14,86.59,35.43,85.46,88.98,6.95,2.24,11.35,60.68,0.82,29.72,3.6,5.86,29.89,12.0,24.0,1.0,0.07
Costa Rica,86.98,73.15,85.54,50.71,64.28,63.47,87.39,84.29,0.7,0.84,20.81,23.29,6.4,13.0,7.06,4.16,32.5,15.9,1627.0,16.0,12.56
Côte d'Ivoire,53.1,30.69,52.95,56.41,42.56,29.03,53.56,64.49,12.0,1.71,1.51,5.44,0.42,4.0,16.49,11.18,8.56,23.7,580373.0,16533.0,7108.37
Croatia,63.85,46.82,63.68,87.9,38.5,56.53,63.71,66.98,0.3,1.54,27.31,53.07,5.29,57.06,5.04,4.15,23.5,17.0,183.0,0.0,3.78
Cuba,94.51,46.82,90.71,67.67,81.59,68.37,91.56,96.1,0.64,2.04,62.33,91.02,3.26,51.74,5.41,4.48,37.25,18.4,2190.0,9.0,25.33
Cyprus,85.78,31.15,74.27,54.76,75.94,53.13,85.93,72.01,3.38,7.54,19.84,33.04,1.61,36.51,10.13,2.42,12.0,16.8,313.0,7.0,0.35
Czechia,64.29,46.82,63.98,91.43,54.53,58.53,64.39,40.51,0.16,1.29,34.93,81.6,5.17,71.93,7.16,3.89,18.0,15.1,499.0,3.0,6.62
Democratic People's Republic of Korea,84.39,46.82,75.51,48.0,48.19,23.37,74.95,82.07,3.96,6.86,34.65,41.87,3.68,143.0,10.13,4.65,67.0,30.4,144470.0,4171.0,606.91
Democratic Republic of the Congo,42.46,31.15,43.73,56.41,26.34,23.6,40.56,57.44,6.95,0.45,0.92,7.08,0.05,8.0,11.59,10.71,33.42,37.6,3011743.0,86843.0,28880.27
Denmark,93.54,78.08,71.63,78.95,52.72,83.37,89.22,72.01,4.49,1.01,32.63,97.18,4.52,33.93,5.28,1.67,17.0,10.1,375.0,3.0,2.02
Djibouti,53.34,42.69,52.07,31.05,31.72,33.87,53.41,60.39,6.95,2.24,1.87,6.26,1.06,15.31,10.13,7.48,12.4,40.4,16683.0,484.0,105.8
Dominica,92.32,46.82,86.24,83.1,39.44,42.07,93.24,91.95,0.0,5.56,11.35,62.33,2.58,29.72,10.13,5.03,29.89,18.2,18.0,0.0,0.54
Dominican Republic,72.8,21.77,70.39,4.33,54.25,46.33,70.78,79.0,6.95,2.24,14.67,14.05,2.55,15.87,11.51,4.53,9.75,12.9,29059.0,777.0,314.5
Ecuador,72.17,59.62,75.22,40.71,52.12,48.6,72.02,91.66,0.38,0.33,15.01,18.76,0.33,15.33,11.54,5.04,32.22,14.9,34040.0,904.0,196.78
Egypt,88.17,46.82,83.66,91.1,75.0,18.87,85.51,86.07,0.26,0.62,7.53,19.95,4.04,16.79,10.13,5.53,48.24,79.3,288944.0,7727.0,2574.9
El Salvador,76.41,67.0,78.59,68.33,56.22,54.13,76.49,77.41,0.05,0.47,17.67,17.34,4.22,11.14,10.57,3.61,26.52,23.4,20075.0,537.0,117.88
Equatorial Guinea,44.61,46.82,46.22,56.41,9.53,10.17,43.29,65.27,6.95,2.24,3.08,4.4,0.17,20.0,10.13,10.29,13.85,45.9,16837.0,480.0,329.35
Eritrea,56.98,29.23,56.37,20.95,52.56,37.87,56.78,59.68,0.98,0.36,0.79,12.66,0.06,9.5,10.13,9.92,59.87,42.4,93881.0,2673.0,630.88
Estonia,59.78,46.82,60.05,88.9,46.62,45.57,59.95,64.12,6.95,1.94,32.24,69.03,6.09,54.51,4.42,3.91,29.89,6.7,102.0,0.0,1.49
Eswatini,77.61,39.15,78.9,75.81,66.56,33.67,78.05,86.22,0.66,0.8,1.43,40.48,0.34,21.0,10.65,6.28,38.84,16.3,14150.0,398.0,295.65
Ethiopia,46.17,34.69,36.1,1.95,24.91,26.57,38.0,48.9,0.0,0.22,0.33,3.47,0.07,2.65,10.13,9.07,52.95,34.4,3022045.0,87323.0,21024.0
Fiji,89.41,52.38,77.2,66.19,81.0,75.73,89.51,95.66,6.95,0.0,5.52,27.06,1.03,20.2,10.13,5.92,39.8,10.2,609.0,10.0,16.47
Finland,92.05,69.31,89.51,17.29,52.72,89.57,94.12,62.44,3.6,1.38,31.79,160.93,12.99,58.72,4.21,1.7,1.0,5.9,248.0,0.0,1.71
France,92.73,69.54,69.22,36.05,38.81,68.53,92.41,55.44,6.95,2.24,53.87,85.95,11.14,67.94,7.47,1.75,29.89,11.6,328018.71,9304.79,38.27
Gabon,54.02,46.82,53.2,56.41,33.09,24.77,56.02,84.63,2.34,3.53,3.0,34.99,0.29,13.0,14.78,9.52,5.25,38.5,6879.0,184.0,247.69
Gambia,86.02,72.77,84.71,25.81,79.34,69.0,85.46,93.93,1.74,0.7,1.07,8.42,0.08,11.0,17.86,11.59,36.15,32.2,25114.0,709.0,382.95
Georgia,58.27,25.85,55.59,70.48,50.19,29.9,57.34,59.2,6.95,2.21,44.68,42.92,0.91,35.24,5.52,4.16,33.3,21.2,13713.0,400.0,36.43
Germany,89.22,76.54,81.73,77.95,66.44,86.67,85.12,72.01,6.95,2.24,35.1,129.16,5.96,84.14,6.79,1.7,29.89,11.7,3419.0,7.0,24.91
Ghana,67.34,54.15,67.54,26.67,50.88,54.27,67.49,77.29,9.41,1.36,1.02,19.24,0.28,9.0,15.07,11.14,38.66,31.9,256261.0,7077.0,4177.79
Greece,93.2,49.23,76.8,49.95,67.12,68.87,86.12,27.2,6.95,2.24,49.11,47.23,9.92,45.71,8.79,1.86,1.0,15.7,328018.71,9304.79,4.41
Grenada,83.98,46.82,76.71,69.19,56.66,61.57,84.34,72.01,4.76,0.94,7.47,38.93,6.8,36.74,10.13,5.38,29.89,21.6,47.0,1.0,0.63
Guatemala,70.22,38.08,67.49,14.29,40.38,42.97,68.46,70.41,0.52,0.34,6.03,10.45,0.04,5.28,11.5,5.86,47.8,23.6,91822.0,2532.0,879.69
Guinea,40.41,46.82,43.24,56.41,21.31,18.93,40.41,59.78,3.84,0.37,0.95,3.74,0.15,3.0,10.13,11.52,23.32,22.4,255264.0,7327.0,4300.94
Guinea-Bissau,57.71,27.54,60.41,56.41,29.66,31.77,57.93,75.22,35.03,56.45,1.13,6.26,0.05,10.0,23.13,10.82,33.45,27.1,74214.0,2132.0,574.99
Guyana,81.66,61.92,77.1,76.48,56.0,59.73,81.56,86.95,15.2,3.38,8.03,10.29,0.15,17.15,15.89,6.26,21.05,20.5,3818.0,105.0,28.49
Haiti,45.24,3.31,46.02,6.19,13.69,14.6,44.46,70.61,0.3,0.24,1.85,4.92,0.19,7.1,10.13,9.08,29.18,14.6,185575.0,5286.0,1571.23
Honduras,83.02,64.0,82.17,8.52,58.91,62.83,82.1,83.51,0.76,0.36,4.24,8.26,0.53,6.37,11.35,5.01,31.43,20.1,36422.0,1004.0,234.45
Hungary,96.44,65.0,96.59,94.29,52.72,69.3,96.59,96.59,0.11,1.02,31.87,68.31,5.28,73.96,8.48,3.98,44.0,15.6,822.0,2.0,8.14
Iceland,93.9,54.85,85.07,75.52,52.72,92.3,93.95,72.01,1.84,3.64,37.8,178.14,4.97,33.26,3.74,1.66,13.0,5.9,18.0,0.0,0.06
India,55.56,1.62,53.83,26.9,26.28,14.5,56.98,61.93,6.95,2.24,6.91,14.16,5.33,5.13,10.13,9.71,48.52,65.2,14210426.0,403518.0,106439.28
Indonesia,63.66,0.23,62.07,45.14,62.03,15.23,61.61,77.12,3.49,0.43,2.75,17.2,0.68,8.39,10.51,5.93,39.78,15.6,978230.0,27410.0,10463.13
Iran (Islamic Republic of),85.51,46.82,84.41,92.67,76.47,16.47,83.83,81.49,6.95,2.24,10.96,18.31,2.0,15.96,10.13,5.65,48.6,35.1,328018.71,9304.79,1273.29
