,Pais,Total Fallecidos Vias Respiratorias,Media Fallecidos Vias Respiratorias,Total Fallecidos Sepsis,Media Fallecidos Sepsis,Total Fallecidos Meningitis Encefalitis,Media Fallecidos Meningitis Encefalitis,Total Fallecidos Malaria,Media Fallecidos Malaria,Total Fallecidos Sarampion,Media Fallecidos Sarampion,Total Fallecidos VIH,Media Fallecidos VIH,Total Fallecidos Diarrea,Media Fallecidos Diarrea,Vacunación contra la poliomielitis entre los niños de 1 año (%),Vacunación de antineumocócicas conjugadas en niños de 1 año (%),Vacunación de la primera dosis contra el sarampión (%),Vacunación de la segunda dosis contra el sarampión (%),Vacunación contra la hepatitis B entre los niños de 1 año (%),Vacunación contra Hib entre niños de 1 año (%),Vacunación contra la tos ferina y el toxoide tetánico diftérico en niños de 1 año (%),Vacunación con BCG en niños de 1 año (%),Centros de salud (Densidad por 100000 hab.),Hospitales (Densidad por 100000 hab.),Doctores medicos (por 10000 hab.),Enfermeros y personal de parto (por 10000 hab.),Farmaceuticos (por 10000 hab.),Camas de hospital (por 10000 hab.),Niños con bajo peso al nacer(%),Prevalencia de anemia en niños menores de 5 años (%),Niños amamantados en sus primeros 6 meses de vida (%),Concentracion de partículas finas (polucion) en el aire,"DALY debido al agua, saneamiento e higiene en niños menores de 5 años","Muertes debido al agua, saneamiento e higiene en niños menores de 5 años"
3,Afghanistan,342325,19018.055555555555,132422,7356.777777777777,87773,4876.277777777777,1839,102.16666666666667,64128,3562.6666666666665,256,14.222222222222221,196793,10932.944444444445,37.97560975609756,28.076923076923077,37.80487804878049,21.047619047619047,26.4375,23.966666666666665,37.31707317073171,42.41463414634146,1.205,0.37,2.322166666666667,3.5629999999999997,0.33930769230769237,4.322222222222224,NaN,7.426486486486488,43.1,53.2 ,2139966,62200
4,Albania,1709,94.94444444444444,232,12.88888888888889,347,19.27777777777778,0,0.0,2,0.1111111111111111,8,0.4444444444444444,199,11.055555555555555,93.97560975609755,68.15384615384616,91.41463414634147,87.28571428571429,79.15625,36.2,94.21951219512195,91.58536585365853,,1.36,13.587416666666662,43.98316666666667,4.477277777777777,30.523076923076925,4.7125,3.8027027027027027,15.6,17.9 ,4284,116
5,Algeria,57438,3191.0,34367,1909.2777777777778,5136,285.3333333333333,0,0.0,7048,391.55555555555554,209,11.61111111111111,25187,1399.2777777777778,78.53658536585365,25.53846153846154,73.29268292682927,87.33333333333333,45.40625,37.4,75.63414634146342,82.58536585365853,NaN,NaN,13.764199999999999,20.2648,2.54125,18.0,7.45625,5.311891891891892,14.966666666666667,35.2 ,114938,3139
6,Andorra,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,54.26829268292683,43.46153846153846,54.02439024390244,54.666666666666664,64.03125,68.46666666666667,54.26829268292683,NaN,NaN,NaN,28.84115384615385,31.692285714285713,9.236785714285714,NaN,7.45625,1.7016216216216218,NaN,9.9 ,3,0
7,Angola,477166,26509.222222222223,102661,5703.388888888889,73790,4099.444444444444,194517,10806.5,38396,2133.1111111111113,37764,2098.0,360353,20019.61111111111,28.048780487804876,25.23076923076923,43.170731707317074,7.714285714285714,20.90625,22.3,33.4390243902439,51.1219512195122,,,1.1680000000000001,7.249600000000001,0.253,8.0,16.625,9.080540540540543,37.4,27.9 ,1308451,37920
8,Antigua and Barbuda,15,0.8333333333333334,4,0.2222222222222222,3,0.16666666666666666,0,0.0,0,0.0,0,0.0,0,0.0,91.7560975609756,NaN,83.65853658536585,60.142857142857146,57.96875,61.63333333333333,93.39024390243902,NaN,,1.11,12.92275,47.55255555555555,1.786,30.983333333333334,9.21875,4.956216216216216,NaN,17.9 ,22,0
9,Argentina,14860,825.5555555555555,11863,659.0555555555555,2783,154.61111111111111,0,0.0,0,0.0,403,22.38888888888889,3172,176.22222222222223,82.46341463414635,48.61538461538461,87.48780487804878,81.9047619047619,49.03125,65.43333333333334,80.65853658536585,91.41463414634147,NaN,NaN,35.02375,19.214625,4.53125,47.85714285714285,7.325000000000001,3.1621621621621623,32.0,11.8 ,12800,104
10,Armenia,2351,130.61111111111111,652,36.22222222222222,289,16.055555555555557,0,0.0,8,0.4444444444444444,43,2.388888888888889,360,20.0,64.36585365853658,32.0,64.41463414634147,90.52380952380952,55.40625,29.733333333333334,62.24390243902439,63.78048780487805,0.53,4.03,28.15047058823529,50.94073684210525,0.3868125,43.27333333333332,7.8500000000000005,4.321621621621621,35.15,30.5 ,4849,132
11,Australia,742,41.22222222222222,407,22.61111111111111,286,15.88888888888889,3,0.16666666666666666,0,0.0,4,0.2222222222222222,77,4.277777777777778,84.04878048780488,85.3076923076923,79.04878048780488,68.04761904761905,55.625,70.5,82.17073170731707,NaN,NaN,NaN,30.72124999999999,101.73261904761904,8.235052631578947,38.637499999999996,6.312500000000001,1.8432432432432428,NaN,7.2 ,1097,0
12,Austria,111,6.166666666666667,84,4.666666666666667,94,5.222222222222222,0,0.0,0,0.0,2,0.1111111111111111,17,0.9444444444444444,85.82926829268293,NaN,67.26829268292683,62.666666666666664,51.375,59.63333333333333,85.63414634146342,21.951219512195124,NaN,NaN,42.141344827586224,59.47937931034484,5.984724137931035,76.50526315789473,6.85625,1.7664864864864869,10.0,12.4 ,346,0
13,Azerbaijan,19729,1096.0555555555557,5684,315.77777777777777,2745,152.5,0,0.0,168,9.333333333333334,107,5.944444444444445,10195,566.3888888888889,56.34146341463415,41.61538461538461,52.68292682926829,75.95238095238095,42.875,26.3,55.048780487804876,59.53658536585366,7.53,7.97,36.26559999999999,87.97076000000001,3.4257199999999997,70.16000000000001,7.162500000000001,5.378918918918919,9.799999999999999,18.2 ,61291,1771
